cTag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995483+3.86954e-06*x+-1.33442e-07*x*x+1.09292e-10*x*x*x)*(1-(0.0306549))" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995483+3.86954e-06*x+-1.33442e-07*x*x+1.09292e-10*x*x*x)*(1+(0.0330228+1.29141e-05*x+-1.35751e-08*x*x))" 
0, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995483+3.86954e-06*x+-1.33442e-07*x*x+1.09292e-10*x*x*x)*(1+(0.0108719+3.36624e-05*x+-3.30644e-08*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995483+3.86954e-06*x+-1.33442e-07*x*x+1.09292e-10*x*x*x)*(1+(0.0306549))" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.16599+-0.000722264*x+1.46129e-06*x*x+-8.55686e-10*x*x*x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.16599+-0.000722264*x+1.46129e-06*x*x+-8.55686e-10*x*x*x)*(1-(0.0540982+-6.37463e-05*x+5.62155e-08*x*x))" 
1, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.16599+-0.000722264*x+1.46129e-06*x*x+-8.55686e-10*x*x*x)*(1-(0.0416392+-8.53277e-05*x+7.57142e-08*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.16599+-0.000722264*x+1.46129e-06*x*x+-8.55686e-10*x*x*x)*(1-(0.0327609))" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.16599+-0.000722264*x+1.46129e-06*x*x+-8.55686e-10*x*x*x)*(1+(0.0540982+-6.37463e-05*x+5.62155e-08*x*x))" 
1, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.16599+-0.000722264*x+1.46129e-06*x*x+-8.55686e-10*x*x*x)*(1+(0.0416392+-8.53277e-05*x+7.57142e-08*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.16599+-0.000722264*x+1.46129e-06*x*x+-8.55686e-10*x*x*x)*(1+(0.0327609))" 
2, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.18632+-0.000864844*x+1.75929e-06*x*x+-9.74877e-10*x*x*x" 
2, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.18632+-0.000864844*x+1.75929e-06*x*x+-9.74877e-10*x*x*x)*(1-(0.0721485+-6.44806e-05*x+6.08065e-08*x*x))" 
2, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.18632+-0.000864844*x+1.75929e-06*x*x+-9.74877e-10*x*x*x)*(1-(0.0591837+-8.16731e-05*x+7.68889e-08*x*x))" 
2, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.18632+-0.000864844*x+1.75929e-06*x*x+-9.74877e-10*x*x*x)*(1-(0.0409998))" 
2, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.18632+-0.000864844*x+1.75929e-06*x*x+-9.74877e-10*x*x*x)*(1+(0.0721485+-6.44806e-05*x+6.08065e-08*x*x))" 
2, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.18632+-0.000864844*x+1.75929e-06*x*x+-9.74877e-10*x*x*x)*(1+(0.0591837+-8.16731e-05*x+7.68889e-08*x*x))" 
2, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.18632+-0.000864844*x+1.75929e-06*x*x+-9.74877e-10*x*x*x)*(1+(0.0409998))"
